Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012]
GDP per capita (current US$),NY.GDP.PCAP.CD,Low & middle income,LMY,1092.1249975553,1079.553063585,1120.1814075778,1239.2756872532,1428.2124729937,1662.5039785348,1935.5002409139,2354.6459978384,2757.358559229,2731.4850012701,3285.9067642295,3807.1911236579,3972.8165743831
GDP per capita (current US$),NY.GDP.PCAP.CD,Tuvalu,TUV,1458.9494204424,1393.3327913255,1621.3335826602,1901.03347628,2232.6025174837,2252.8928856322,2353.4031549065,2768.4346607372,3094.6843335398,2763.1844200253,3238.4961105458,3993.6518380158,4044.1894644462
GDP per capita (current US$),NY.GDP.PCAP.CD,Tunisia,TUN,2247.9129946709,2286.5004602293,2373.7813781979,2790.0043682329,3139.5372016316,3217.8859710355,3394.3652239481,3805.2766716506,4342.6763184064,4162.5867367817,4212.1546669089,4305.0637354985,4197.5282761817
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,1193.466223131,1336.8591413621,1458.328047198,1859.5523519522,2466.0050797791,2781.5721442053,3051.7676403629,3603.0135598881,4370.5399247769,4114.1348991634,4094.3602035924,4437.8117250371,4256.0167020325
GDP per capita (current US$),NY.GDP.PCAP.CD,Samoa,WSM,1540.653729526,1555.4651908599,1631.3044696857,1907.0336981673,2350.8511020383,2587.4889302785,2793.5276922732,3130.3182433463,3375.7480298037,3173.4735132663,3530.573994353,4066.0666885938,4258.2459535434
GDP per capita (current US$),NY.GDP.PCAP.CD,Tonga,TON,1925.4737393981,1695.7981285126,1834.8448420706,2087.4357038693,2354.9612989382,2562.7462139246,2834.0312214732,2929.4719316932,3302.9986152809,3102.6818586129,3552.5991509723,4220.2640562553,4357.1382822543
GDP per capita (current US$),NY.GDP.PCAP.CD,Middle income,MIC,1173.3279120609,1163.436208291,1208.3346324377,1339.1642726129,1546.07621772,1802.5260165061,2103.0951130303,2563.0152949599,3004.7807038272,2978.5668124182,3595.0141399743,4174.1917235841,4360.1574501765
GDP per capita (current US$),NY.GDP.PCAP.CD,Mongolia,MNG,474.2060336762,524.0377601344,571.6020188267,646.2369491291,798.0243785282,998.8005557863,1333.8781004428,1631.9417073874,2135.8037041586,1715.3697007659,2650.2677478285,3779.5960060283,4395.7950881285
GDP per capita (current US$),NY.GDP.PCAP.CD,Fiji,FJI,2074.9288095605,2037.6854616461,2257.5446605483,2833.9057011499,3330.3099688344,3655.7358989633,3747.0368356415,4076.0335919628,4175.1061469267,3367.3702271387,3649.3665085695,4201.3442957761,4401.1115108805
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,1435.957685801,1481.9457148652,1706.5019539099,2148.4843457988,2578.7380873092,2810.3376810133,3238.6236482857,3991.3154231022,4846.1321628957,4480.3775901371,4380.6042854269,4771.2692817828,4409.5921196777
GDP per capita (current US$),NY.GDP.PCAP.CD,"Macedonia, FYR",MKD,1838.5059899273,1796.3486539975,1937.0836613896,2377.0375262206,2724.5735110601,2994.4837672182,3276.92412887,3976.1497244293,4721.6022136808,4475.8282444126,4474.8828798559,4988.2012689088,4628.3135488301
